Company Name,Company Website,Description,Media Spend (M)
Cato Corporation,www.catocorp.com,retail clothing stores, $1 - 3 
"Charlotte Russe Holding, Inc.",www.charlotterusse.com/,women's clothing, $1 - 3 
"Charming Charlie, Inc.",www.charmingcharlie.com,fashion jewelry & accessories, $1 - 3 
Chegg Inc.,www.chegg.com,textbooks, $1 - 3 
Cintas Corporation,www.cintas-corp.com,uniform manufacturers, $1 - 3 
"Cole Haan, Inc.",www.colehaan.com,luxury clothing & footwear, $1 - 3 
Costco Wholesale Corporation,www.costco.com,wholesale club operator, $1 - 3 
"Cumberland Farms, Inc.",www.cumberlandfarms.com,convenience stores, $1 - 3 
"Devanlay USA, Inc.",www.lacoste-usa.com,clothing retailer, $1 - 3 
"DGSE Companies, Inc.",www.dgse.com,"Gold, silver exchange retailer", $1 - 3 
Diane Von Furstenberg Studio,www.dvf.com,women's designer clothing, $1 - 3 
Dollar Tree Stores,www.dollartree.com,discount variety stores, $1 - 3 
"Dress Barn, Inc.",www.dressbarn.com,women's clothing stores, $1 - 3 
E. Gluck Corporation,www.egluck.com,watch manufacturer, $1 - 3 
Ecco USA,www.ecco.com,shoes, $1 - 3 
Electronic Express,www.electronicexpress.com,electronics retailer, $1 - 3 
"Etienne Aigner Group, Inc.",www.etienneaigner.com,leather goods retail, $1 - 3 
"Fila USA, Inc.",www.fila.com,athletic apparel, $1 - 3 
Fink's Jewelers,www.finks.com,jewelry stores, $1 - 3 
For Eyes Optical,www.foreyes.com,eye care, $1 - 3 
FragranceNet.com,www.fragrancenet.com,online skin care product retailer, $1 - 3 
"FreshDirect, LLC",www.freshdirect.com,online grocery store, $1 - 3 
Grand Home Furnishings Company,www.grandhomefurnishings.com/,furniture, $1 - 3 
"H. H. Brown Shoe Company, Inc.",www.hhbrown.com,work & safety shoes, $1 - 3 
Haggar Clothing Company,www.haggar.com,menswear & accessories, $1 - 3 
"Hancock Fabrics, Inc.",www.hancockfabrics.com,"fabrics, sewing tools", $1 - 3 
Hannaford Brothers ,www.hannaford.com,supermarket chain, $1 - 3 
IGA Inc.,www.igainc.com,grocery stores, $1 - 3 
"INVISTA, Inc.",www.invista.com,performance fabrics, $1 - 3 
"J.W. Childs Associates, L.P.",www.jwchilds.com,private equity investment firm, $1 - 3 
"Joe's Jeans, Inc.",www.joesjeans.com,apparel & accessories, $1 - 3 
"Kings Super Markets, Inc.",www.kingsfoodmarkets.com,grocery stores, $1 - 3 
"Kwik Trip, Inc.",www.kwiktrip.com,gas stations & convenience stores, $1 - 3 
"LeSportsac, Inc.",www.lesportsac.com,backpacks & luggage, $1 - 3 
"Lil Drug Store Products, Inc.",www.lildrugstore.com,drug wholesaler, $1 - 3 
Lund Food Holdings,www.lundsmarket.com,supermarkets, $1 - 3 
Mall of America,www.mallofamerica.com,mall, $1 - 3 
Marc Glassman,www.marcs.com,"discount stores, pharmaceuticals", $1 - 3 
"Marmot Mountain, LLC",www.marmot.com,outdoor recreational equipment, $1 - 3 
"Michael Stars, Inc.",www.michaelstars.com,women's apparel & accessories, $1 - 3 
Mikimoto Company ,www.mikimotoamerica.com,"pearls, fine jewelry", $1 - 3 
"Navarro Discount Pharmacies, Inc.",www.navarro.com,pharmacies, $1 - 3 
"New Era Cap Company, Inc.",www.neweracap.com,sporting goods & apparel, $1 - 3 
New York & Company,www.nyandcompany.com,women's clothing stores, $1 - 3 
Northern Tool & Equipment Company,www.northerntool.com,mail order tools & hardware, $1 - 3 
Oscar de la Renta,www.oscardelarenta.com,"clothing, fragrances & accessories", $1 - 3 
"Pacific Sunwear of California, Inc.",www.pacsun.com,casual apparel, $1 - 3 
Palm Beach Tan,www.palmbeachtan.com,indoor tanning chain, $1 - 3 
"Patagonia, Inc. / Lost Arrow Corporation",www.patagonia.com,outdoor clothing, $1 - 3 
Paul Frank Industries,www.paulfrank.com,clothing & apparel stores, $1 - 3 
"PC Connection, Inc.",www.pcconnection.com,"computers, electronics & accessories", $1 - 3 
"Performance Bike, Inc.",www.performancebike.com,bikes & equipment, $1 - 3 
Pet Supplies Plus,www.petsuppliesplus.com/index.html,pet store, $1 - 3 
"Piggly Wiggly Carolina Company, Inc.",www.thepig.net,grocery store chain, $1 - 3 
"Playboy Enterprises, Inc.",www.playboyenterprises.com,adult entertainment, $1 - 3 
"Puma North America, Inc.",www.puma.com,athletic apparel, $1 - 3 
"Raley's, Inc. ",www.raleys.com,supermarket chain, $1 - 3 
"Reeds Jewelers, Inc.",www.reeds.com,jewelry stores, $1 - 3 
"Richemont North America, Inc. ",www.richemont.com/,luxury goods manufacturer, $1 - 3 
"Road Runner Sports, Inc.",www.roadrunnersports.com,sporting apparel, $1 - 3 
"Sally Beauty Company, Inc. ",www.sallybeauty.com,retail beauty supply stores, $1 - 3 
Schnuck Markets Inc.,www.schnucks.com,supermarket chain, $1 - 3 
"Scholastic, Inc.",www.scholastic.com,book publishing, $1 - 3 
"Scott Kay, Inc.",www.scottkay.com,jewelry, $1 - 3 
"Sedano's Supermarkets, Inc.",www.sedanos.com,supermarkets, $1 - 3 
"Sheplers, Inc.",www.sheplers.com,apparel & accessories, $1 - 3 
"Sierra Trading Post, Inc.",www.sierratradingpost.com,clothing, $1 - 3 
"Silpada Designs, Inc.",www.silpada.com,sterling silver jewelry, $1 - 3 
"Smart & Final, Inc.",www.smartandfinal.com,warehouse grocery stores, $1 - 3 
"Smith Sport Optics, Inc. ",www.smithoptics.com,"goggles, sunglasses & accessories", $1 - 3 
SpartanNash Company,www.spartanstores.com,grocery wholesaler & retailer, $1 - 3 
Stew Leonard's,www.stewleonards.com,supermarket chain, $1 - 3 
"Talbots, Inc. ",www.talbots.com,apparel stores, $1 - 3 
"Taramax USA, Inc.",none (08/10),Fendi watch licensee, $1 - 3 
"The Children's Place Retail Stores, Inc.",www.childrensplace.com,children's clothing store chain, $1 - 3 
"The Limited Stores, LLC",www.thelimited.com,young women's professional clothing & accessories , $1 - 3 
"Things Remembered, Inc.",www.thingsremembered.com,personalized gifts, $1 - 3 
TOMS Shoes,www.toms.com,shoe company, $1 - 3 
Tuesday Morning Corporation,www.tuesdaymorning.com,discount home decor stores, $1 - 3 
"Tumi Holdings, Inc.",www.tumi.com,"luggage, wallets, briefcases", $1 - 3 
"Urban Outfitters, Inc.",www.urbanoutfittersinc.com,"clothing, footwear, houseware", $1 - 3 
"Volcom, Inc.",www.volcom.com,surf/skate apparel, $1 - 3 
"Von Maur, Inc.",www.vonmaur.com,department stores, $1 - 3 
"West Marine, Inc.",www.westmarine.com,boat supplies, $1 - 3 
A.T. Cross Company,www.cross.com,writing instruments & eyeglasses, $750k - 1 
"Abbey Carpet Company, Inc.",www.abbeycarpet.com,floor coverings, $750k - 1 
Alienware Corporation,www.alienware.com,computers, $750k - 1 
"Brookstone, Inc.",www.brookstone.com,specialty items, $750k - 1 
"Campmor, Inc.",www.campmor.com,outdoor equipment retailer, $750k - 1 
"Carter's, Inc.",www.carters.com,children's clothing, $750k - 1 
DirectBuy Company,www.directbuy.com,home improvement & furnishings club, $750k - 1 
"Draper's & Damon's, Inc.",www.drapers.com,women's clothing, $750k - 1 
"Frederick's of Hollywood, Inc.",www.fredericks.com,women's lingerie & accessories, $750k - 1 
Jaeger-LeCoultre,www.jaeger-lecoultre.com,watches, $750k - 1 
Kahala Corporation,www.kahalacorp.com,restaurant franchiser, $750k - 1 
"King Kullen Grocery, Inc.",www.kingkullen.com,supermarkets, $750k - 1 
"Pike Nurseries, Inc.",www.pikenursery.com,nursery garden products, $750k - 1 
"Rue La La, Inc.",www.ruelala.com/,online retail, $750k - 1 
Smith & Wesson Holding Corporation,www.smith-wesson.com,"firearms, accessories & clothing", $750k - 1 
"Spanx, Inc.",www.spanx.com,footless pantyhose, $750k - 1 
"Steve Madden, Ltd.",www.stevemadden.com,shoe retailer, $750k - 1 
Super Supplements,www.SuperSup.com,vitamin retailer, $750k - 1 
Tops Markets LLC,www.topsmarkets.com,grocery stores, $750k - 1 
"W.L. Gore & Associates, Inc.",www.gore.com,advanced technology fabrics & products, $750k - 1 
"Wayfair, LLC",www.wayfair.com,internet retailer, $750k - 1 
"Wet Seal, Inc.",www.wetsealinc.com,casual clothing stores, $750k - 1 
"180s, LLC",www.180s.com,performance apparel,Less than $750K
479 Popcorn,www.479popcorn.com,premium artisan popcorn,Less than $750K
"5.11, Inc.",www.511tactical.com/,safety & performance products & apparel,Less than $750K
80sTees.com,www.80stees.com,t-shirt manufacturer & distributor,Less than $750K
"A & E Stores, Inc.",www.aestores.com,clothing stores,Less than $750K
"Aaron Brothers, Inc.",www.aaronbrothers.com,arts & crafts retailer,Less than $750K
"abc distributing, LLC",www.abcdistributing.com,retail catalogs,Less than $750K
ABC Fine Wine & Spirits,www.abcfws.com,liquor stores,Less than $750K
Abercrombie & Fitch Company,www.abercrombie.com,"casual clothing, perfume",Less than $750K
ABRA Auto Body & Glass,www.abraauto.com,auto body shops,Less than $750K
"Acuity Brands, Inc.",www.acuitybrands.com,lighting & specialty products,Less than $750K
Adrenalina,www.adrenalinastore.com,extreme sports store,Less than $750K
"AeroGroup International, Inc. ",www.aerosoles.com,shoes,Less than $750K
Affiliated Foods Incorporated,www.afiama.com,grocery distribution cooperative,Less than $750K
AG Interactive,www.americangreetings.com,online cards & gifts,Less than $750K
"Ahold USA, Inc.",www.ahold.com,grocery stores,Less than $750K
"AJ Madison, Inc.",www.ajmadison.com,appliances,Less than $750K
Akoo Clothing,www.azzuredenim.com,apparel,Less than $750K
"Al & Ed's Autosound, LLC",www.al-eds.com,"automotive products / parts manufacturer, audio",Less than $750K
"ALCO Stores, Inc.",www.alcostoresinc.com,discount retail goods,Less than $750K
"Alex Lee, Inc.",www.alexlee.com,holding company,Less than $750K
"Alibris, Inc.",www.alibris.com,"used books, movies & music",Less than $750K
"Allegra Network, LLC",www.allegranetwork.com,copy centers,Less than $750K
Allstar Products Group,www.allstarmg.com,consumer products,Less than $750K
Allsup's Convenience Stores,www.allsups.com,convenience stores,Less than $750K
Alor International / CHARRIOL USA,www.charriolusa.com,jewelry,Less than $750K
"Alpargatas USA, Inc.",www.alpargatasusa.com,women's footwear manufacturer,Less than $750K
Alpha Shirt Company,www.alphashirt.com,sportswear distributor,Less than $750K
Alternative Apparel,www.alternativeapparel.com,clothing & apparel,Less than $750K
"Amerex USA, Inc.",www.amerexgroup.com,outerwear,Less than $750K
American Achievement Corporation,www.cbi-rings.com,commemoration products,Less than $750K
American Home,www.americanhomefurnishing.com,furniture stores,Less than $750K
"American Recreation Products, Inc.",www.wenzelco.com,recreational products,Less than $750K
American Tire Distributors,atd-us.com/,"automotive products / parts manufacturer, tires",Less than $750K
Amoeba Music,www.amoebamusic.com,independent music store,Less than $750K
Amoena USA Corporation,www.us.amoena.com,breast surgery apparel,Less than $750K
"Andin International, Inc.",www.andin.com,jewelry,Less than $750K
"Ann & Hope, Inc.",www.curtainandbathoutlet.com,outlet stores,Less than $750K
"ANVIL Knitwear, Inc.",www.anvilknitwear.com,clothing manufacturer,Less than $750K
ARAMARK Uniform & Career Apparel,www.aramark-uniform.com,uniform & career apparel,Less than $750K
"Arden Group, Inc.",www.ardengroupinc.com/,grocery store holding company,Less than $750K
"Ariat International, Inc.",www.ariat.com,riding boots,Less than $750K
"Arizona Mail Order Company, Inc.",www.oldpueblotraders.com,"mail-order catalog, apparel",Less than $750K
Armani Exchange,www.armaniexchange.com,youth fashion,Less than $750K
Ashley Stewart,www.ashleystewart.com,womens clothing,Less than $750K
"Associated Food Stores, Inc.",www.afstores.com,wholesale supermarket stores,Less than $750K
Avelle,www.bagborroworsteal.com,accessories rental ,Less than $750K
Avenues In Leather,www.avenuesinleather.com,leather products,Less than $750K
"BabyAge.com, Inc.",www.babyage.com,"online retailer of infant, pregnancy, and juvenile products",Less than $750K
"Bakers Footwear Group, Inc.",www.bakersshoes.com,women's footwear retailer,Less than $750K
"Barneys New York, Inc.",www.barneys.com,retail clothing store,Less than $750K
Baroni Designs,www.baronidesigns.com/,"jewelry designer, seller",Less than $750K
"Batteries Plus, LLC",www.batteriesplus.com,retail chain ,Less than $750K
"Bauhaus USA, Inc.",www.bauhaususa.com,furniture,Less than $750K
"Baume & Mercier, Inc.",www.baume-and-mercier.com,watches,Less than $750K
BCBG Max Azria,www.bcbg.com,"women's clothing, shoes & accessories",Less than $750K
Beauty Brands Inc,www.beautybrands.com,salon & spa retail store,Less than $750K
"Beauty Encounter, Inc.",www.beautyencounter.com,online retailer,Less than $750K
"Bell & Ross, Inc.",www.bellross.com,watches,Less than $750K
Bergdorf Goodman,www.bergdorfgoodman.com,retail specialty stores,Less than $750K
"Bernard Chaus, Inc.",www.bernardchaus.com,clothing designer,Less than $750K
"Bernardo Fashions, LLC",www.bernardofashions.com,apparel,Less than $750K
"BFS Retail & Commercial Operations, LLC",www.bfmastercare.com,"automotive products / parts manufacturer, tires",Less than $750K
BI Incorporated,www.bi.com,electronic monitoring & tracking devices,Less than $750K
"Bi-Lo, LLC",www.bi-lo.com,grocery chain,Less than $750K
Bianchi International,www.bianchi-intl.com,"holsters, duty belts, & accessories",Less than $750K
BIDZ.com Inc.,www.bidz.com,online retailer of jewelry,Less than $750K
Big Dog Sportswear,www.bigdogs.com,family clothing stores,Less than $750K
Big Dog's Hospitality Group,www.bdhginc.com,casual dining restaurant,Less than $750K
"Bill Blass, Group",www.billblass.com,clothing,Less than $750K
Billabong USA,www.billabong-usa.com,surf apparel & accessories,Less than $750K
Bills Khakis,www.billskhakis.com,men's trousers,Less than $750K
Black Mountain Apparel,www.blackmountainapparel.com,outdoor clothing & accessories,Less than $750K
BluBlocker Corporation,www.blublocker.com,eye care & optical,Less than $750K
"BlueFly, Inc.",www.bluefly.com,designer fashions,Less than $750K
"Bob's Stores, Inc.",www.bobstores.com,clothing stores,Less than $750K
Body Central,http://www.bodyc.com/,fashion & apparel ,Less than $750K
"Bonitas International, LLC",www.bonitasinternational.com,beaded jewelry,Less than $750K
Bonobos,www.bonobos.com,online apparel company,Less than $750K
"Books-A-, Inc.",www.booksa.com,bookstores,Less than $750K
Boston Apparel Group,www.chadwicks.com,women's apparel catalog,Less than $750K
Boston Proper,www.bostonproper.com,"apparel, home decor, jewelry",Less than $750K
Briggs & Riley Travelware,www.briggs-riley.com,luggage,Less than $750K
Bristol Farms ,www.bristolfarms.com,supermarkets,Less than $750K
Broder Brothers Company,www.broderbros.com,sportswear distributor,Less than $750K
"Brookshire Brothers, LTD",www.brookshirebrothers.com,food & pharmacy stores,Less than $750K
Brookshire's Grocery Company,www.brookshires.com,grocery store chain,Less than $750K
"Bruno Magli America, Inc.",shop.brunomagli.com,footwear & accessories,Less than $750K
"Buff, Inc.",www.buffusa.com,multifunctional headwear,Less than $750K
Bulgari Corporation of America,www.bulgari.com,watches & fine jewelry,Less than $750K
Bullard Company,www.bullard.com,safety products,Less than $750K
Burton Snowboards,www.burton.com,snowboard & equipment manufacturer,Less than $750K
Butera Market,www.buteramarket.com,grocery store chain,Less than $750K
"BuySeasons, Inc.",www.buyseasons.com,online costume & party retailer,Less than $750K
"C&K Market, Inc.",www.ckmarket.com,grocery stores,Less than $750K
"C.F. Martin & Co., Inc.",www.mguitar.com,musical instruments,Less than $750K
"Cache, Inc.",www.cache.com,women's specialty retailer,Less than $750K
CafePress.com,www.cafepress.com,e-commerce services,Less than $750K
"Camping World, Inc.",www.campingworld.com,RV & outdoor camping accessories,Less than $750K
"Capezio / Ballet Makers, Inc.",www.capezio.com,dance apparel,Less than $750K
Capital Partners,www.capitalpartners.com/,gift shop holding company,Less than $750K
Carson Pirie Scott & Company,www.carsons.com,traditional clothing stores,Less than $750K
Carter Lumber Company,www.carterlumber.com,lumber & home improvement retailer,Less than $750K
Cartridge World USA,www.cartridgeworld.com,ink and toner refiller,Less than $750K
Century 21 Department Stores,www.c21stores.com,online discount retailer,Less than $750K
"Cerberus Capital Management, L.P.",www.cerberuscapital.com,private investment firm,Less than $750K
Chamilia,www.chamilia.com,personalized accessories,Less than $750K
Champs Sports,www.champssports.com,athletic apparel,Less than $750K
"Charles David of California, Inc. ",www.charlesdavid.com,high-fashion women's shoes,Less than $750K
Cherokee Group,www.thecherokeegroup.com,casual clothing & accessories,Less than $750K
"Chicco USA, Inc.",www.chiccousa.com,baby products,Less than $750K
Christopher & Banks Corporation,www.christopherandbanks.com,women's casual apparel,Less than $750K
"Circle K Stores, Inc.",www.circlek.com,convenience stores,Less than $750K
"Circle K Stores, Inc. - Arizona Region",www.circlek.com,gas & convenience stores,Less than $750K
"Circle K Stores, Inc. - Florida & Gulf Region",www.circlek.com,gas & convenience stores,Less than $750K
"Circle K Stores, Inc. - Midwest Region",www.circlekmidwest.com,gas & convenience stores,Less than $750K
"Circle K Stores, Inc. - Southeast Division",www.circlek.com,gas & convenience stores,Less than $750K
"Circle K Stores, Inc. - West Coast Business Unit",www.circlek.com,gas & convenience stores,Less than $750K
"Citarella, Inc.",www.citarella.com,gourmet grocery stores,Less than $750K
"Citi Trends, Inc.",www.cititrends.com,bargain priced apparel,Less than $750K
"Claire's Stores, Inc.",www.claires.com,women accessories retailer,Less than $750K
Clear Channel Malls,malls.clearchannel.com,mall advertising,Less than $750K
"Coborn's, Inc.",www.cobornsinc.com,"food mart, liquor stores",Less than $750K
"Collective Brands, Inc.",www.collectivebrands.com,shoe retailer,Less than $750K
Collective Licensing International,www.collectiveintl.com,shoes,Less than $750K
"Collectors Universe, Inc.",www.collectors.com,Personal and professional collectors' organization,Less than $750K
"Colony Brands, Inc.",www.colonybrands.net,catalog & e-commerce companies,Less than $750K
"Connected Ventures, LLC",www.connectedventures.com,college-based web sites,Less than $750K
Consolidated Shoe,www.consolidatedshoe.com,shoes,Less than $750K
"Cost-U-Less, Inc.",www.costuless.com,warehouse stores,Less than $750K
"Crayola, LLC",www.crayola.com,children's art products,Less than $750K
Crown Central LLC,www.crowncentral.com,petroleum products & gas stations,Less than $750K
"Crown Crafts, Inc.",www.crowncrafts.com,consumer products,Less than $750K
Crutchfield Corporation,www.crutchfield.com,electronics retailer,Less than $750K
"Cuddledown, Inc.",www.cuddledown.com,online retailer of bedding and home furnishings,Less than $750K
Custom Chrome,www.customchrome.com,automotive products / parts manufacturer,Less than $750K
"Cutter & Buck, Inc.",www.cutterbuck.com,golf sportswear,Less than $750K
Cycle Gear,www.cyclegear.com,"motorcycle accessories, parts & apparel",Less than $750K
Dakine,www.dakine.com,sporting goods,Less than $750K
Dan Post Company,www.danpostboots.com,footwear,Less than $750K
"Dan's Supreme Super Markets, Inc.",www.danssupreme.com,supermarkets,Less than $750K
"Danskin, Inc.",www.danskin.com,women's sportswear,Less than $750K
"David & Goliath, Inc.",www.davidandgoliathtees.com,women & men's apparel,Less than $750K
DC Shoe Co. USA,www.dcshoes.com,shoes & skateboard accessories,Less than $750K
"Dean & DeLuca, Inc.",www.deandeluca.com,"fine food, kitchenware, wine, coffee retailer",Less than $750K
"Deb Shops, Inc.",www.debshops.com,junior apparel retailer,Less than $750K
"deBoulle Diamond & Jewelry, Inc.",www.deboulle.com,watches & fine jewelry,Less than $750K
"Delia's, Inc.",www.delias.com,misses & teen clothing store chain,Less than $750K
"Delsey Luggage, Inc.",www.delseyusa.com,luggage maker,Less than $750K
"Delta Apparel, Inc.",www.deltaapparelinc.com/,apparel,Less than $750K
Deluxe Corporation,www.deluxe.com,business form printing,Less than $750K
Demetrios Bridal Gowns,www.demetriosbride.com,bridal gowns,Less than $750K
"Demoulas Super Markets, Inc.",,supermarkets,Less than $750K
"Department 56, Inc. ",www.d56.com,online gifts & items,Less than $750K
"Deuter USA, Inc.",www.deuterusa.com,outdoor gear,Less than $750K
Diamond Pharmacy Services,www.diamondpharmacy.com,"pharmacy, medical services",Less than $750K
"Dierbergs Markets, Inc.",www.dierbergs.com,grocery stores,Less than $750K
"Discount Drug Mart, Inc.",www.discount-drugmart.com,drugstore chain,Less than $750K
Disney Store of North America,www.disneystore.com,"character-based merchandise, retail stores",Less than $750K
Do It Best Corp.,www.doitbestcorp.com,hardware & building products,Less than $750K
"Donna Karan International, Inc.",www.donnakaran.com,women's fashion,Less than $750K
Dr. Martens AirWair USA,www.drmartens.com,brand name shoes,Less than $750K
"Drs. Foster & Smith, Inc.",www.drsfostersmith.com,pet supplies,Less than $750K
"DSW, Inc.",www.dswshoe.com,discount shoe retailer,Less than $750K
"Duane Reade, Inc.",www.duanereade.com,drug store chain,Less than $750K
Dunhill,www.dunhill.com,tobacco accessories; men's clothing,Less than $750K
"E-Z Mart Stores, Inc.",www.ezmart.com,convenience stores,Less than $750K
"Earth Fare, Inc.",www.earthfare.com,grocery chain,Less than $750K
"Eastern Mountain Sports, Inc.",www.ems.com,sporting good stores,Less than $750K
eCampus.com,www.ecampus.com,general info site,Less than $750K
"Electric Visual Evolution, LLC",www.electricvisual.com,sunglasses & eyewear accessories,Less than $750K
Elie Tahari,www.elietahari.com,apparel,Less than $750K
Ella Moss,www.ellamoss.com/,apparel,Less than $750K
"Emerging Vision, Inc.",www.emergingvision.com,optical & vision care centers,Less than $750K
"Enesco, LLC ",www.enesco.com,"gifts, collectables & home decor accessories",Less than $750K
Entertainment Earth Inc.,www.entertainmentearth.com,action figure & collectible retailer,Less than $750K
Ergobaby,http://store.ergobaby.com,infant carrying products,Less than $750K
"ESCADA USA, Inc.",www.escada.com,upscale fashions,Less than $750K
"Everlast Worldwide, Inc.",www.everlast.com,"sportswear, nutritional products",Less than $750K
ExOfficio,www.exofficio.com,outdoor & travel clothing company,Less than $750K
"Fairway & Greene, Ltd.",www.fairwayandgreene.com,golf apparel,Less than $750K
"Family Christian Stores, Inc.",www.familychristian.com,"christian books, gifts",Less than $750K
FB Legacy,www.fblegacy.com/,"clothing, sportswear",Less than $750K
FedEx Office,www.fedex.com/office,24 hour business service centers,Less than $750K
"Fingerhut Direct Marketing, Inc.",www.fingerhut.com,online/catalog retailer,Less than $750K
Five Below,www.fivebelow.com/,vaule retailer,Less than $750K
"Flying J, Inc.",www.flyingj.com,truck stops,Less than $750K
Flynn & O'Hara,www.roseuniforms.com,school uniforms,Less than $750K
Follett Higher Education Group,www.fheg.follett.com,bookstores,Less than $750K
Fortune Brands Home & Security,www.fbhs.com,manufacturing,Less than $750K
"Fox Racing, Inc.",www.foxracing.com,apparel & accessories,Less than $750K
"Franchise Concepts, Inc.",www.deckthewalls.com,prints & frames,Less than $750K
Franklin Covey Co.,www.franklincovey.com,planners & organizers,Less than $750K
"Franklin Sports, Inc.",www.franklinsports.com,athletic equipment,Less than $750K
"Franks Supply Company, Inc.",www.franks-supply.com,equipment supply,Less than $750K
"Fred's, Inc.",www.fredsinc.com,discount stores,Less than $750K
French Connection,www.fcuk.com/us,designer clothing,Less than $750K
"Fresh Concepts, LLC",www.freshcity.com,fast casual restaurant,Less than $750K
"Fresh Market, Inc.",www.thefreshmarket.net,specialty grocery stores,Less than $750K
Frontgate,www.frontgate.com,upscale mail order,Less than $750K
"G-III Apparel Group, Ltd.",www.g-iii.com,leather apparel manufacturer,Less than $750K
G.H. Bass & Company,www.ghbass.com,clothing & footwear,Less than $750K
"Gamer Doc, Inc.",www.gamerdoc.com,video game retailer,Less than $750K
"Garan, Inc.",www.garanimals.com/,clothing manufacturer,Less than $750K
Gate Petroleum Company,www.gatepetro.com,"gas stations, real estate",Less than $750K
Gazelle,www.gazelle.com,recommerce company,Less than $750K
Gelson's Markets,www.gelsons.com,supermarket chain,Less than $750K
"Gerber Childrenswear, LLC",www.gerberchildrenswear.com,children's apparel,Less than $750K
"Gerland's Food Fair, Inc.",www.gerlands.com,supermarket chain,Less than $750K
"Global Franchise Group, LLC",www.globalfranchise.com,restaurant franchiser,Less than $750K
"Good Sam Enterprises, LLC",www.affinitygroup.com/index.cfm,recreational goods,Less than $750K
"Gordon Brothers Group, LLC",www.gordonbrothers.com,investment services,Less than $750K
Gordon Food Service,www.gfs.com,bulk foods,Less than $750K
Greg Norman Collection,www.shark.com/gregnormancollection,men's apparel,Less than $750K
Grossman's Bargain Outlet,www.bargain-outlets.com,"window & door products, hardware stores",Less than $750K
Gymboree Corporation,www.gymboree.com,children's clothes,Less than $750K
"H.I.G. Capital Management, Inc.",www.higcapital.com,private equity and capital investment firm,Less than $750K
"Haas Outdoors, Inc. / Mossy Oak Outdoor",www.mossyoak.com,hunting apparel & accessories,Less than $750K
"Haggen, Inc.",www.haggen.com,supermarkets,Less than $750K
Hamilton Collection,www.collectiblestoday.com,"dolls, plates, collectibles",Less than $750K
Hammacher Schlemmer & Co.,www.hammacher.com,"retail stores, chains, & catalog",Less than $750K
"Hampshire Designers, Inc.",www.hamp.com,sweaters,Less than $750K
Hanna Andersson Corporation,www.hannaandersson.com,clothing,Less than $750K
Harbor Footwear Group,www.gbxshoe.com,shoes,Less than $750K
"Harps Food Stores, Inc.",www.harpsfood.com,"retail groceries, dry goods",Less than $750K
Harveys Supermarkets,www.harveys-supermarkets.com,local supermarket chain,Less than $750K
"Hastings Entertainment, Inc.",www.gohastings.com,multimedia superstores,Less than $750K
"Hat World, Inc. / Lids",www.hatworld.com,hats,Less than $750K
"Hatco, Inc.",www.resistolhat.com,hat manufacturing,Less than $750K
HauteLook,www.hautelook.com,online retailer,Less than $750K
"Head USA, Inc.",www.head.com,athletic equipment & apparel,Less than $750K
"Healthy Fast Food, Inc.",www.u-swirl.com,quick serve restaurant,Less than $750K
"Heelys, Inc.",www.heelys.com,shoes with wheels,Less than $750K
"Hi-Tec Sports USA, Inc.",www.hi-tec.com,outdoor clothing & gear,Less than $750K
"Hibbett Sports, Inc.",www.hibbett.com,sporting goods retailer,Less than $750K
"Hillerich & Bradsby Company, Inc.",www.slugger.com,baseball bats & golf clubs,Less than $750K
Holiday Companies,www.holidaystationstores.com,gas station & convenience stores,Less than $750K
"Hollywood Tans, LLC",www.hollywoodtans.com,tanning salons,Less than $750K
"Homeland Stores, Inc.",www.homelandstores.com,grocery store chain,Less than $750K
Honeywell / Consumer Products,www.honeywell.com,automotive products / parts manufacturer,Less than $750K
"Horny Toad Activewear, Inc.",www.hornytoad.com,apparel,Less than $750K
Hot Stuff Foods,www.hotstufffoods.com,convenience store food,Less than $750K
"Hot Topic, Inc.",www.hottopic.com,"clothing, shoes, jewelry",Less than $750K
"Houchens Industries, Inc.",www.houchensindustries.com,grocery stores,Less than $750K
"Hubbell Lighting, Inc.",www.hubbell-ltg.com/,lighting & accessories,Less than $750K
"Hunt Brothers Pizza, LLC",www.huntbrotherspizza.com/,quick serve restaurant,Less than $750K
"Hunter Mfg, LLP",www.huntermfg.com,licensed sports consumer products,Less than $750K
"Hurley International, LLC",www.hurley.com,surf & skate apparel,Less than $750K
Icebreaker,www.icebreaker.com,outdoor apparel,Less than $750K
Incase Designs Corporation,goincase.com,carrying case manufacturer,Less than $750K
"InGear Fashion, Inc.",www.ingear.com,resort wear and bathing suit cover-ups,Less than $750K
"Inserra Supermarkets, Inc.",www.shoprite.com,supermarkets,Less than $750K
Intermix Holdco Inc.,www.intermixonline.com/,women's apparel & accessories,Less than $750K
"International Textiles Group, Inc",www.itg-global.com,"denim manufacturer, home furnishings fabrics, textiles, carpet, yarn",Less than $750K
IWC North America,www.iwc.com,luxury goods manufacturer,Less than $750K
J&D's Foods,www.jdfoods.net,bacon-flavored foodstuffs,Less than $750K
J. Barbour & Sons Ltd,www.barbour.com,casual & outdoor clothing,Less than $750K
"J. Jill Group, Inc.",www.jjill.com,catalog & mail-order,Less than $750K
J.M. Smith Corporation,www.smithdrug.com,drugs wholesale,Less than $750K
JA Apparel Corporation,www.josephabboud.com,luxury men's apparel,Less than $750K
"Jaclyn, Inc.",www.jaclyninc.com,apparel-clothing,Less than $750K
"JanSport, Inc.",www.jansport.com,backpacks & book bags,Less than $750K
