,Company Name,Company Website,Description,Media Spend (M)
340,84 Lumber Company,www.84lumber.com,building products retailer, $1 - 3 
341,"A.C. Moore Arts & Crafts, Inc.",www.acmoore.com,arts & crafts retailers, $1 - 3 
342,Aco Hardware,www.acohardware.com,retail hardware store chain, $1 - 3 
343,"Advanced Beauty Systems, Inc.",www.bodycology.us,"bath, hair, skin products", $1 - 3 
344,"Allied Electronics, Inc.",www.alliedelec.com,electronic equipment & parts, $1 - 3 
345,"Anthropologie, Inc.",www.anthropologie.com,"women's apparel, accessories, home decor", $1 - 3 
346,"Armstrong Garden Centers, Inc.",www.armstronggarden.com,garden centers, $1 - 3 
347,Audemars Piguet North America,www.audemarspiguet.com,luxury watches, $1 - 3 
348,Bally North America,www.bally.com,footwear & leather accessories, $1 - 3 
349,Bare Necessities,www.barenecessities.com,lingerie company, $1 - 3 
350,"Bashas, Inc.",www.bashas.com,supermarkets, $1 - 3 
351,"Bath & Body Works, Inc.",www.bathandbodyworks.com,body & hair care products, $1 - 3 
352,Benetton USA Corporation,www.benetton.com,adult & children's apparel, $1 - 3 
353,"Big Y Foods, Inc.",www.bigy.com,supermarket chain, $1 - 3 
354,"Birks Group, Inc.",www.birksandmayors.com,jewelry store chain, $1 - 3 
355,"Boot Barn, Inc.",www.bootbarn.com,boot & work wear retailer, $1 - 3 
356,Brooks Brothers,www.brooksbrothers.com,upscale men's & women's apparel, $1 - 3 
357,Bulova Corporation,www.bulova.com,"watches, clocks, timepiece parts", $1 - 3 
358,Bushnell Performance Optics,www.bushnellperformanceoptics.com,"binoculars, telescopes, rangefinders, sports optics", $1 - 3 
359,Cato Corporation,www.catocorp.com,retail clothing stores, $1 - 3 
360,"Charlotte Russe Holding, Inc.",www.charlotterusse.com/,women's clothing, $1 - 3 
361,"Charming Charlie, Inc.",www.charmingcharlie.com,fashion jewelry & accessories, $1 - 3 
362,Chegg Inc.,www.chegg.com,textbooks, $1 - 3 
363,Cintas Corporation,www.cintas-corp.com,uniform manufacturers, $1 - 3 
364,"Cole Haan, Inc.",www.colehaan.com,luxury clothing & footwear, $1 - 3 
365,Costco Wholesale Corporation,www.costco.com,wholesale club operator, $1 - 3 
366,"Cumberland Farms, Inc.",www.cumberlandfarms.com,convenience stores, $1 - 3 
367,"Devanlay USA, Inc.",www.lacoste-usa.com,clothing retailer, $1 - 3 
368,"DGSE Companies, Inc.",www.dgse.com,"Gold, silver exchange retailer", $1 - 3 
369,Diane Von Furstenberg Studio,www.dvf.com,women's designer clothing, $1 - 3 
370,Dollar Tree Stores,www.dollartree.com,discount variety stores, $1 - 3 
371,"Dress Barn, Inc.",www.dressbarn.com,women's clothing stores, $1 - 3 
372,E. Gluck Corporation,www.egluck.com,watch manufacturer, $1 - 3 
373,Ecco USA,www.ecco.com,shoes, $1 - 3 
374,Electronic Express,www.electronicexpress.com,electronics retailer, $1 - 3 
375,"Etienne Aigner Group, Inc.",www.etienneaigner.com,leather goods retail, $1 - 3 
376,"Fila USA, Inc.",www.fila.com,athletic apparel, $1 - 3 
377,Fink's Jewelers,www.finks.com,jewelry stores, $1 - 3 
378,For Eyes Optical,www.foreyes.com,eye care, $1 - 3 
379,FragranceNet.com,www.fragrancenet.com,online skin care product retailer, $1 - 3 
380,"FreshDirect, LLC",www.freshdirect.com,online grocery store, $1 - 3 
381,Grand Home Furnishings Company,www.grandhomefurnishings.com/,furniture, $1 - 3 
382,"H. H. Brown Shoe Company, Inc.",www.hhbrown.com,work & safety shoes, $1 - 3 
383,Haggar Clothing Company,www.haggar.com,menswear & accessories, $1 - 3 
384,"Hancock Fabrics, Inc.",www.hancockfabrics.com,"fabrics, sewing tools", $1 - 3 
385,Hannaford Brothers ,www.hannaford.com,supermarket chain, $1 - 3 
386,IGA Inc.,www.igainc.com,grocery stores, $1 - 3 
387,"INVISTA, Inc.",www.invista.com,performance fabrics, $1 - 3 
388,"J.W. Childs Associates, L.P.",www.jwchilds.com,private equity investment firm, $1 - 3 
389,"Joe's Jeans, Inc.",www.joesjeans.com,apparel & accessories, $1 - 3 
390,"Kings Super Markets, Inc.",www.kingsfoodmarkets.com,grocery stores, $1 - 3 
391,"Kwik Trip, Inc.",www.kwiktrip.com,gas stations & convenience stores, $1 - 3 
392,"LeSportsac, Inc.",www.lesportsac.com,backpacks & luggage, $1 - 3 
393,"Lil Drug Store Products, Inc.",www.lildrugstore.com,drug wholesaler, $1 - 3 
394,Lund Food Holdings,www.lundsmarket.com,supermarkets, $1 - 3 
395,Mall of America,www.mallofamerica.com,mall, $1 - 3 
396,Marc Glassman,www.marcs.com,"discount stores, pharmaceuticals", $1 - 3 
397,"Marmot Mountain, LLC",www.marmot.com,outdoor recreational equipment, $1 - 3 
398,"Michael Stars, Inc.",www.michaelstars.com,women's apparel & accessories, $1 - 3 
399,Mikimoto Company ,www.mikimotoamerica.com,"pearls, fine jewelry", $1 - 3 
400,"Navarro Discount Pharmacies, Inc.",www.navarro.com,pharmacies, $1 - 3 
401,"New Era Cap Company, Inc.",www.neweracap.com,sporting goods & apparel, $1 - 3 
402,New York & Company,www.nyandcompany.com,women's clothing stores, $1 - 3 
403,Northern Tool & Equipment Company,www.northerntool.com,mail order tools & hardware, $1 - 3 
404,Oscar de la Renta,www.oscardelarenta.com,"clothing, fragrances & accessories", $1 - 3 
405,"Pacific Sunwear of California, Inc.",www.pacsun.com,casual apparel, $1 - 3 
406,Palm Beach Tan,www.palmbeachtan.com,indoor tanning chain, $1 - 3 
407,"Patagonia, Inc. / Lost Arrow Corporation",www.patagonia.com,outdoor clothing, $1 - 3 
408,Paul Frank Industries,www.paulfrank.com,clothing & apparel stores, $1 - 3 
409,"PC Connection, Inc.",www.pcconnection.com,"computers, electronics & accessories", $1 - 3 
410,"Performance Bike, Inc.",www.performancebike.com,bikes & equipment, $1 - 3 
411,Pet Supplies Plus,www.petsuppliesplus.com/index.html,pet store, $1 - 3 
412,"Piggly Wiggly Carolina Company, Inc.",www.thepig.net,grocery store chain, $1 - 3 
413,"Playboy Enterprises, Inc.",www.playboyenterprises.com,adult entertainment, $1 - 3 
414,"Puma North America, Inc.",www.puma.com,athletic apparel, $1 - 3 
415,"Raley's, Inc. ",www.raleys.com,supermarket chain, $1 - 3 
416,"Reeds Jewelers, Inc.",www.reeds.com,jewelry stores, $1 - 3 
417,"Richemont North America, Inc. ",www.richemont.com/,luxury goods manufacturer, $1 - 3 
418,"Road Runner Sports, Inc.",www.roadrunnersports.com,sporting apparel, $1 - 3 
419,"Sally Beauty Company, Inc. ",www.sallybeauty.com,retail beauty supply stores, $1 - 3 
420,Schnuck Markets Inc.,www.schnucks.com,supermarket chain, $1 - 3 
421,"Scholastic, Inc.",www.scholastic.com,book publishing, $1 - 3 
422,"Scott Kay, Inc.",www.scottkay.com,jewelry, $1 - 3 
423,"Sedano's Supermarkets, Inc.",www.sedanos.com,supermarkets, $1 - 3 
424,"Sheplers, Inc.",www.sheplers.com,apparel & accessories, $1 - 3 
425,"Sierra Trading Post, Inc.",www.sierratradingpost.com,clothing, $1 - 3 
426,"Silpada Designs, Inc.",www.silpada.com,sterling silver jewelry, $1 - 3 
427,"Smart & Final, Inc.",www.smartandfinal.com,warehouse grocery stores, $1 - 3 
428,"Smith Sport Optics, Inc. ",www.smithoptics.com,"goggles, sunglasses & accessories", $1 - 3 
429,SpartanNash Company,www.spartanstores.com,grocery wholesaler & retailer, $1 - 3 
430,Stew Leonard's,www.stewleonards.com,supermarket chain, $1 - 3 
431,"Talbots, Inc. ",www.talbots.com,apparel stores, $1 - 3 
432,"Taramax USA, Inc.",none (08/10),Fendi watch licensee, $1 - 3 
433,"The Children's Place Retail Stores, Inc.",www.childrensplace.com,children's clothing store chain, $1 - 3 
434,"The Limited Stores, LLC",www.thelimited.com,young women's professional clothing & accessories , $1 - 3 
435,"Things Remembered, Inc.",www.thingsremembered.com,personalized gifts, $1 - 3 
436,TOMS Shoes,www.toms.com,shoe company, $1 - 3 
437,Tuesday Morning Corporation,www.tuesdaymorning.com,discount home decor stores, $1 - 3 
438,"Tumi Holdings, Inc.",www.tumi.com,"luggage, wallets, briefcases", $1 - 3 
439,"Urban Outfitters, Inc.",www.urbanoutfittersinc.com,"clothing, footwear, houseware", $1 - 3 
440,"Volcom, Inc.",www.volcom.com,surf/skate apparel, $1 - 3 
441,"Von Maur, Inc.",www.vonmaur.com,department stores, $1 - 3 
442,"West Marine, Inc.",www.westmarine.com,boat supplies, $1 - 3 
443,A.T. Cross Company,www.cross.com,writing instruments & eyeglasses, $750k - 1 
444,"Abbey Carpet Company, Inc.",www.abbeycarpet.com,floor coverings, $750k - 1 
445,Alienware Corporation,www.alienware.com,computers, $750k - 1 
446,"Brookstone, Inc.",www.brookstone.com,specialty items, $750k - 1 
447,"Campmor, Inc.",www.campmor.com,outdoor equipment retailer, $750k - 1 
448,"Carter's, Inc.",www.carters.com,children's clothing, $750k - 1 
449,DirectBuy Company,www.directbuy.com,home improvement & furnishings club, $750k - 1 
450,"Draper's & Damon's, Inc.",www.drapers.com,women's clothing, $750k - 1 
451,"Frederick's of Hollywood, Inc.",www.fredericks.com,women's lingerie & accessories, $750k - 1 
452,Jaeger-LeCoultre,www.jaeger-lecoultre.com,watches, $750k - 1 
453,Kahala Corporation,www.kahalacorp.com,restaurant franchiser, $750k - 1 
454,"King Kullen Grocery, Inc.",www.kingkullen.com,supermarkets, $750k - 1 
455,"Pike Nurseries, Inc.",www.pikenursery.com,nursery garden products, $750k - 1 
456,"Rue La La, Inc.",www.ruelala.com/,online retail, $750k - 1 
457,Smith & Wesson Holding Corporation,www.smith-wesson.com,"firearms, accessories & clothing", $750k - 1 
458,"Spanx, Inc.",www.spanx.com,footless pantyhose, $750k - 1 
459,"Steve Madden, Ltd.",www.stevemadden.com,shoe retailer, $750k - 1 
460,Super Supplements,www.SuperSup.com,vitamin retailer, $750k - 1 
461,Tops Markets LLC,www.topsmarkets.com,grocery stores, $750k - 1 
462,"W.L. Gore & Associates, Inc.",www.gore.com,advanced technology fabrics & products, $750k - 1 
463,"Wayfair, LLC",www.wayfair.com,internet retailer, $750k - 1 
464,"Wet Seal, Inc.",www.wetsealinc.com,casual clothing stores, $750k - 1 
465,"180s, LLC",www.180s.com,performance apparel,Less than $750K
466,479 Popcorn,www.479popcorn.com,premium artisan popcorn,Less than $750K
467,"5.11, Inc.",www.511tactical.com/,safety & performance products & apparel,Less than $750K
468,80sTees.com,www.80stees.com,t-shirt manufacturer & distributor,Less than $750K
469,"A & E Stores, Inc.",www.aestores.com,clothing stores,Less than $750K
470,"Aaron Brothers, Inc.",www.aaronbrothers.com,arts & crafts retailer,Less than $750K
471,"abc distributing, LLC",www.abcdistributing.com,retail catalogs,Less than $750K
472,ABC Fine Wine & Spirits,www.abcfws.com,liquor stores,Less than $750K
473,Abercrombie & Fitch Company,www.abercrombie.com,"casual clothing, perfume",Less than $750K
474,ABRA Auto Body & Glass,www.abraauto.com,auto body shops,Less than $750K
475,"Acuity Brands, Inc.",www.acuitybrands.com,lighting & specialty products,Less than $750K
476,Adrenalina,www.adrenalinastore.com,extreme sports store,Less than $750K
477,"AeroGroup International, Inc. ",www.aerosoles.com,shoes,Less than $750K
478,Affiliated Foods Incorporated,www.afiama.com,grocery distribution cooperative,Less than $750K
479,AG Interactive,www.americangreetings.com,online cards & gifts,Less than $750K
480,"Ahold USA, Inc.",www.ahold.com,grocery stores,Less than $750K
481,"AJ Madison, Inc.",www.ajmadison.com,appliances,Less than $750K
482,Akoo Clothing,www.azzuredenim.com,apparel,Less than $750K
483,"Al & Ed's Autosound, LLC",www.al-eds.com,"automotive products / parts manufacturer, audio",Less than $750K
484,"ALCO Stores, Inc.",www.alcostoresinc.com,discount retail goods,Less than $750K
485,"Alex Lee, Inc.",www.alexlee.com,holding company,Less than $750K
486,"Alibris, Inc.",www.alibris.com,"used books, movies & music",Less than $750K
487,"Allegra Network, LLC",www.allegranetwork.com,copy centers,Less than $750K
488,Allstar Products Group,www.allstarmg.com,consumer products,Less than $750K
489,Allsup's Convenience Stores,www.allsups.com,convenience stores,Less than $750K
490,Alor International / CHARRIOL USA,www.charriolusa.com,jewelry,Less than $750K
491,"Alpargatas USA, Inc.",www.alpargatasusa.com,women's footwear manufacturer,Less than $750K
492,Alpha Shirt Company,www.alphashirt.com,sportswear distributor,Less than $750K
493,Alternative Apparel,www.alternativeapparel.com,clothing & apparel,Less than $750K
494,"Amerex USA, Inc.",www.amerexgroup.com,outerwear,Less than $750K
495,American Achievement Corporation,www.cbi-rings.com,commemoration products,Less than $750K
496,American Home,www.americanhomefurnishing.com,furniture stores,Less than $750K
497,"American Recreation Products, Inc.",www.wenzelco.com,recreational products,Less than $750K
498,American Tire Distributors,atd-us.com/,"automotive products / parts manufacturer, tires",Less than $750K
499,Amoeba Music,www.amoebamusic.com,independent music store,Less than $750K
500,Amoena USA Corporation,www.us.amoena.com,breast surgery apparel,Less than $750K
501,"Andin International, Inc.",www.andin.com,jewelry,Less than $750K
502,"Ann & Hope, Inc.",www.curtainandbathoutlet.com,outlet stores,Less than $750K
503,"ANVIL Knitwear, Inc.",www.anvilknitwear.com,clothing manufacturer,Less than $750K
504,ARAMARK Uniform & Career Apparel,www.aramark-uniform.com,uniform & career apparel,Less than $750K
505,"Arden Group, Inc.",www.ardengroupinc.com/,grocery store holding company,Less than $750K
506,"Ariat International, Inc.",www.ariat.com,riding boots,Less than $750K
507,"Arizona Mail Order Company, Inc.",www.oldpueblotraders.com,"mail-order catalog, apparel",Less than $750K
508,Armani Exchange,www.armaniexchange.com,youth fashion,Less than $750K
509,Ashley Stewart,www.ashleystewart.com,womens clothing,Less than $750K
510,"Associated Food Stores, Inc.",www.afstores.com,wholesale supermarket stores,Less than $750K
511,Avelle,www.bagborroworsteal.com,accessories rental ,Less than $750K
512,Avenues In Leather,www.avenuesinleather.com,leather products,Less than $750K
513,"BabyAge.com, Inc.",www.babyage.com,"online retailer of infant, pregnancy, and juvenile products",Less than $750K
514,"Bakers Footwear Group, Inc.",www.bakersshoes.com,women's footwear retailer,Less than $750K
515,"Barneys New York, Inc.",www.barneys.com,retail clothing store,Less than $750K
516,Baroni Designs,www.baronidesigns.com/,"jewelry designer, seller",Less than $750K
517,"Batteries Plus, LLC",www.batteriesplus.com,retail chain ,Less than $750K
518,"Bauhaus USA, Inc.",www.bauhaususa.com,furniture,Less than $750K
519,"Baume & Mercier, Inc.",www.baume-and-mercier.com,watches,Less than $750K
520,BCBG Max Azria,www.bcbg.com,"women's clothing, shoes & accessories",Less than $750K
521,Beauty Brands Inc,www.beautybrands.com,salon & spa retail store,Less than $750K
522,"Beauty Encounter, Inc.",www.beautyencounter.com,online retailer,Less than $750K
523,"Bell & Ross, Inc.",www.bellross.com,watches,Less than $750K
524,Bergdorf Goodman,www.bergdorfgoodman.com,retail specialty stores,Less than $750K
525,"Bernard Chaus, Inc.",www.bernardchaus.com,clothing designer,Less than $750K
526,"Bernardo Fashions, LLC",www.bernardofashions.com,apparel,Less than $750K
527,"BFS Retail & Commercial Operations, LLC",www.bfmastercare.com,"automotive products / parts manufacturer, tires",Less than $750K
528,BI Incorporated,www.bi.com,electronic monitoring & tracking devices,Less than $750K
529,"Bi-Lo, LLC",www.bi-lo.com,grocery chain,Less than $750K
530,Bianchi International,www.bianchi-intl.com,"holsters, duty belts, & accessories",Less than $750K
531,BIDZ.com Inc.,www.bidz.com,online retailer of jewelry,Less than $750K
532,Big Dog Sportswear,www.bigdogs.com,family clothing stores,Less than $750K
533,Big Dog's Hospitality Group,www.bdhginc.com,casual dining restaurant,Less than $750K
534,"Bill Blass, Group",www.billblass.com,clothing,Less than $750K
535,Billabong USA,www.billabong-usa.com,surf apparel & accessories,Less than $750K
536,Bills Khakis,www.billskhakis.com,men's trousers,Less than $750K
537,Black Mountain Apparel,www.blackmountainapparel.com,outdoor clothing & accessories,Less than $750K
538,BluBlocker Corporation,www.blublocker.com,eye care & optical,Less than $750K
539,"BlueFly, Inc.",www.bluefly.com,designer fashions,Less than $750K
540,"Bob's Stores, Inc.",www.bobstores.com,clothing stores,Less than $750K
541,Body Central,http://www.bodyc.com/,fashion & apparel ,Less than $750K
542,"Bonitas International, LLC",www.bonitasinternational.com,beaded jewelry,Less than $750K
543,Bonobos,www.bonobos.com,online apparel company,Less than $750K
544,"Books-A-, Inc.",www.booksa.com,bookstores,Less than $750K
545,Boston Apparel Group,www.chadwicks.com,women's apparel catalog,Less than $750K
546,Boston Proper,www.bostonproper.com,"apparel, home decor, jewelry",Less than $750K
547,Briggs & Riley Travelware,www.briggs-riley.com,luggage,Less than $750K
548,Bristol Farms ,www.bristolfarms.com,supermarkets,Less than $750K
549,Broder Brothers Company,www.broderbros.com,sportswear distributor,Less than $750K
550,"Brookshire Brothers, LTD",www.brookshirebrothers.com,food & pharmacy stores,Less than $750K
551,Brookshire's Grocery Company,www.brookshires.com,grocery store chain,Less than $750K
552,"Bruno Magli America, Inc.",shop.brunomagli.com,footwear & accessories,Less than $750K
553,"Buff, Inc.",www.buffusa.com,multifunctional headwear,Less than $750K
554,Bulgari Corporation of America,www.bulgari.com,watches & fine jewelry,Less than $750K
555,Bullard Company,www.bullard.com,safety products,Less than $750K
556,Burton Snowboards,www.burton.com,snowboard & equipment manufacturer,Less than $750K
557,Butera Market,www.buteramarket.com,grocery store chain,Less than $750K
558,"BuySeasons, Inc.",www.buyseasons.com,online costume & party retailer,Less than $750K
559,"C&K Market, Inc.",www.ckmarket.com,grocery stores,Less than $750K
560,"C.F. Martin & Co., Inc.",www.mguitar.com,musical instruments,Less than $750K
561,"Cache, Inc.",www.cache.com,women's specialty retailer,Less than $750K
562,CafePress.com,www.cafepress.com,e-commerce services,Less than $750K
563,"Camping World, Inc.",www.campingworld.com,RV & outdoor camping accessories,Less than $750K
564,"Capezio / Ballet Makers, Inc.",www.capezio.com,dance apparel,Less than $750K
565,Capital Partners,www.capitalpartners.com/,gift shop holding company,Less than $750K
566,Carson Pirie Scott & Company,www.carsons.com,traditional clothing stores,Less than $750K
567,Carter Lumber Company,www.carterlumber.com,lumber & home improvement retailer,Less than $750K
568,Cartridge World USA,www.cartridgeworld.com,ink and toner refiller,Less than $750K
569,Century 21 Department Stores,www.c21stores.com,online discount retailer,Less than $750K
570,"Cerberus Capital Management, L.P.",www.cerberuscapital.com,private investment firm,Less than $750K
571,Chamilia,www.chamilia.com,personalized accessories,Less than $750K
572,Champs Sports,www.champssports.com,athletic apparel,Less than $750K
573,"Charles David of California, Inc. ",www.charlesdavid.com,high-fashion women's shoes,Less than $750K
574,Cherokee Group,www.thecherokeegroup.com,casual clothing & accessories,Less than $750K
575,"Chicco USA, Inc.",www.chiccousa.com,baby products,Less than $750K
576,Christopher & Banks Corporation,www.christopherandbanks.com,women's casual apparel,Less than $750K
577,"Circle K Stores, Inc.",www.circlek.com,convenience stores,Less than $750K
578,"Circle K Stores, Inc. - Arizona Region",www.circlek.com,gas & convenience stores,Less than $750K
579,"Circle K Stores, Inc. - Florida & Gulf Region",www.circlek.com,gas & convenience stores,Less than $750K
580,"Circle K Stores, Inc. - Midwest Region",www.circlekmidwest.com,gas & convenience stores,Less than $750K
581,"Circle K Stores, Inc. - Southeast Division",www.circlek.com,gas & convenience stores,Less than $750K
582,"Circle K Stores, Inc. - West Coast Business Unit",www.circlek.com,gas & convenience stores,Less than $750K
583,"Citarella, Inc.",www.citarella.com,gourmet grocery stores,Less than $750K
584,"Citi Trends, Inc.",www.cititrends.com,bargain priced apparel,Less than $750K
585,"Claire's Stores, Inc.",www.claires.com,women accessories retailer,Less than $750K
586,Clear Channel Malls,malls.clearchannel.com,mall advertising,Less than $750K
587,"Coborn's, Inc.",www.cobornsinc.com,"food mart, liquor stores",Less than $750K
588,"Collective Brands, Inc.",www.collectivebrands.com,shoe retailer,Less than $750K
589,Collective Licensing International,www.collectiveintl.com,shoes,Less than $750K
590,"Collectors Universe, Inc.",www.collectors.com,Personal and professional collectors' organization,Less than $750K
591,"Colony Brands, Inc.",www.colonybrands.net,catalog & e-commerce companies,Less than $750K
592,"Connected Ventures, LLC",www.connectedventures.com,college-based web sites,Less than $750K
593,Consolidated Shoe,www.consolidatedshoe.com,shoes,Less than $750K
594,"Cost-U-Less, Inc.",www.costuless.com,warehouse stores,Less than $750K
595,"Crayola, LLC",www.crayola.com,children's art products,Less than $750K
596,Crown Central LLC,www.crowncentral.com,petroleum products & gas stations,Less than $750K
597,"Crown Crafts, Inc.",www.crowncrafts.com,consumer products,Less than $750K
598,Crutchfield Corporation,www.crutchfield.com,electronics retailer,Less than $750K
599,"Cuddledown, Inc.",www.cuddledown.com,online retailer of bedding and home furnishings,Less than $750K
600,Custom Chrome,www.customchrome.com,automotive products / parts manufacturer,Less than $750K
601,"Cutter & Buck, Inc.",www.cutterbuck.com,golf sportswear,Less than $750K
602,Cycle Gear,www.cyclegear.com,"motorcycle accessories, parts & apparel",Less than $750K
603,Dakine,www.dakine.com,sporting goods,Less than $750K
604,Dan Post Company,www.danpostboots.com,footwear,Less than $750K
605,"Dan's Supreme Super Markets, Inc.",www.danssupreme.com,supermarkets,Less than $750K
606,"Danskin, Inc.",www.danskin.com,women's sportswear,Less than $750K
607,"David & Goliath, Inc.",www.davidandgoliathtees.com,women & men's apparel,Less than $750K
608,DC Shoe Co. USA,www.dcshoes.com,shoes & skateboard accessories,Less than $750K
609,"Dean & DeLuca, Inc.",www.deandeluca.com,"fine food, kitchenware, wine, coffee retailer",Less than $750K
610,"Deb Shops, Inc.",www.debshops.com,junior apparel retailer,Less than $750K
611,"deBoulle Diamond & Jewelry, Inc.",www.deboulle.com,watches & fine jewelry,Less than $750K
612,"Delia's, Inc.",www.delias.com,misses & teen clothing store chain,Less than $750K
613,"Delsey Luggage, Inc.",www.delseyusa.com,luggage maker,Less than $750K
614,"Delta Apparel, Inc.",www.deltaapparelinc.com/,apparel,Less than $750K
615,Deluxe Corporation,www.deluxe.com,business form printing,Less than $750K
616,Demetrios Bridal Gowns,www.demetriosbride.com,bridal gowns,Less than $750K
617,"Demoulas Super Markets, Inc.",,supermarkets,Less than $750K
618,"Department 56, Inc. ",www.d56.com,online gifts & items,Less than $750K
619,"Deuter USA, Inc.",www.deuterusa.com,outdoor gear,Less than $750K
620,Diamond Pharmacy Services,www.diamondpharmacy.com,"pharmacy, medical services",Less than $750K
621,"Dierbergs Markets, Inc.",www.dierbergs.com,grocery stores,Less than $750K
622,"Discount Drug Mart, Inc.",www.discount-drugmart.com,drugstore chain,Less than $750K
623,Disney Store of North America,www.disneystore.com,"character-based merchandise, retail stores",Less than $750K
624,Do It Best Corp.,www.doitbestcorp.com,hardware & building products,Less than $750K
625,"Donna Karan International, Inc.",www.donnakaran.com,women's fashion,Less than $750K
626,Dr. Martens AirWair USA,www.drmartens.com,brand name shoes,Less than $750K
627,"Drs. Foster & Smith, Inc.",www.drsfostersmith.com,pet supplies,Less than $750K
628,"DSW, Inc.",www.dswshoe.com,discount shoe retailer,Less than $750K
629,"Duane Reade, Inc.",www.duanereade.com,drug store chain,Less than $750K
630,Dunhill,www.dunhill.com,tobacco accessories; men's clothing,Less than $750K
631,"E-Z Mart Stores, Inc.",www.ezmart.com,convenience stores,Less than $750K
632,"Earth Fare, Inc.",www.earthfare.com,grocery chain,Less than $750K
633,"Eastern Mountain Sports, Inc.",www.ems.com,sporting good stores,Less than $750K
634,eCampus.com,www.ecampus.com,general info site,Less than $750K
635,"Electric Visual Evolution, LLC",www.electricvisual.com,sunglasses & eyewear accessories,Less than $750K
636,Elie Tahari,www.elietahari.com,apparel,Less than $750K
637,Ella Moss,www.ellamoss.com/,apparel,Less than $750K
638,"Emerging Vision, Inc.",www.emergingvision.com,optical & vision care centers,Less than $750K
639,"Enesco, LLC ",www.enesco.com,"gifts, collectables & home decor accessories",Less than $750K
640,Entertainment Earth Inc.,www.entertainmentearth.com,action figure & collectible retailer,Less than $750K
641,Ergobaby,http://store.ergobaby.com,infant carrying products,Less than $750K
642,"ESCADA USA, Inc.",www.escada.com,upscale fashions,Less than $750K
643,"Everlast Worldwide, Inc.",www.everlast.com,"sportswear, nutritional products",Less than $750K
644,ExOfficio,www.exofficio.com,outdoor & travel clothing company,Less than $750K
645,"Fairway & Greene, Ltd.",www.fairwayandgreene.com,golf apparel,Less than $750K
646,"Family Christian Stores, Inc.",www.familychristian.com,"christian books, gifts",Less than $750K
647,FB Legacy,www.fblegacy.com/,"clothing, sportswear",Less than $750K
648,FedEx Office,www.fedex.com/office,24 hour business service centers,Less than $750K
649,"Fingerhut Direct Marketing, Inc.",www.fingerhut.com,online/catalog retailer,Less than $750K
650,Five Below,www.fivebelow.com/,vaule retailer,Less than $750K
651,"Flying J, Inc.",www.flyingj.com,truck stops,Less than $750K
652,Flynn & O'Hara,www.roseuniforms.com,school uniforms,Less than $750K
653,Follett Higher Education Group,www.fheg.follett.com,bookstores,Less than $750K
654,Fortune Brands Home & Security,www.fbhs.com,manufacturing,Less than $750K
655,"Fox Racing, Inc.",www.foxracing.com,apparel & accessories,Less than $750K
656,"Franchise Concepts, Inc.",www.deckthewalls.com,prints & frames,Less than $750K
657,Franklin Covey Co.,www.franklincovey.com,planners & organizers,Less than $750K
658,"Franklin Sports, Inc.",www.franklinsports.com,athletic equipment,Less than $750K
659,"Franks Supply Company, Inc.",www.franks-supply.com,equipment supply,Less than $750K
660,"Fred's, Inc.",www.fredsinc.com,discount stores,Less than $750K
661,French Connection,www.fcuk.com/us,designer clothing,Less than $750K
662,"Fresh Concepts, LLC",www.freshcity.com,fast casual restaurant,Less than $750K
663,"Fresh Market, Inc.",www.thefreshmarket.net,specialty grocery stores,Less than $750K
664,Frontgate,www.frontgate.com,upscale mail order,Less than $750K
665,"G-III Apparel Group, Ltd.",www.g-iii.com,leather apparel manufacturer,Less than $750K
666,G.H. Bass & Company,www.ghbass.com,clothing & footwear,Less than $750K
667,"Gamer Doc, Inc.",www.gamerdoc.com,video game retailer,Less than $750K
668,"Garan, Inc.",www.garanimals.com/,clothing manufacturer,Less than $750K
669,Gate Petroleum Company,www.gatepetro.com,"gas stations, real estate",Less than $750K
670,Gazelle,www.gazelle.com,recommerce company,Less than $750K
671,Gelson's Markets,www.gelsons.com,supermarket chain,Less than $750K
672,"Gerber Childrenswear, LLC",www.gerberchildrenswear.com,children's apparel,Less than $750K
673,"Gerland's Food Fair, Inc.",www.gerlands.com,supermarket chain,Less than $750K
674,"Global Franchise Group, LLC",www.globalfranchise.com,restaurant franchiser,Less than $750K
675,"Good Sam Enterprises, LLC",www.affinitygroup.com/index.cfm,recreational goods,Less than $750K
676,"Gordon Brothers Group, LLC",www.gordonbrothers.com,investment services,Less than $750K
677,Gordon Food Service,www.gfs.com,bulk foods,Less than $750K
678,Greg Norman Collection,www.shark.com/gregnormancollection,men's apparel,Less than $750K
679,Grossman's Bargain Outlet,www.bargain-outlets.com,"window & door products, hardware stores",Less than $750K
680,Gymboree Corporation,www.gymboree.com,children's clothes,Less than $750K
681,"H.I.G. Capital Management, Inc.",www.higcapital.com,private equity and capital investment firm,Less than $750K
682,"Haas Outdoors, Inc. / Mossy Oak Outdoor",www.mossyoak.com,hunting apparel & accessories,Less than $750K
683,"Haggen, Inc.",www.haggen.com,supermarkets,Less than $750K
684,Hamilton Collection,www.collectiblestoday.com,"dolls, plates, collectibles",Less than $750K
685,Hammacher Schlemmer & Co.,www.hammacher.com,"retail stores, chains, & catalog",Less than $750K
686,"Hampshire Designers, Inc.",www.hamp.com,sweaters,Less than $750K
687,Hanna Andersson Corporation,www.hannaandersson.com,clothing,Less than $750K
688,Harbor Footwear Group,www.gbxshoe.com,shoes,Less than $750K
